case_id,question_text,drm,jur_acc,top1_doc_id,top1_jurisdiction
CORE_Q01,What are key supervisory expectations for licensed stablecoin issuers in Hong Kong?,0.800000,1.000000,HK_Explanatory_Note_on_Licensing_of_Stablecoin_Issuers_2025,HK
CORE_Q02,What AML/CFT requirements apply to licensed stablecoin issuers in Hong Kong?,1.000000,1.000000,HK_Consultation_Paper_on_the_Proposed_AML_CFT_Requirements_for_Regulated_Stablecoin_Activities_2025,HK
CORE_Q03,"According to HKMA's 2025 explanatory note, what licensing conditions are highlighted for stablecoin issuers?",0.800000,1.000000,HK_Explanatory_Note_on_Licensing_of_Stablecoin_Issuers_2025,HK
CORE_Q04,What transitional arrangements exist for pre-existing stablecoin issuers in Hong Kong?,0.600000,1.000000,HK_Explanatory_Note_on_Transitional_Provisions_for_Pre-existing_Stablecoin_Issuers_2025,HK
CORE_Q05,How does MAS describe the core elements of Singapore's stablecoin regulatory framework?,0.600000,0.800000,SG_MAS_Media_Release_Stablecoin_Framework_2023,SG
CORE_Q06,What investor protection measures were announced by MAS for DPT services in 2023?,0.200000,1.000000,SG_MAS_Media_Release_DPT_Investor_Protection_2023,SG
CORE_Q07,What user protection updates did MAS publish for digital token service providers in 2024?,0.600000,1.000000,SG_MAS_Media_Release_DPT_User_Protection_2024,SG
CORE_Q08,What does the Payment Services Regulations 2025 (SLS 342) cover for Singapore payment token activities?,0.800000,0.800000,SG_MAS_Media_Release_DPT_User_Protection_2024,SG
CORE_Q09,What policy direction is set in FCA CP25-14 on UK cryptoasset regulation?,1.000000,1.000000,UK_cp25-40_2025,UK
CORE_Q10,What conduct and market integrity themes are discussed in UK CP25-15?,1.000000,1.000000,UK_cp25-40_2025,UK
CORE_Q11,What consumer duty and promotion obligations are emphasized in UK PS23-6 for crypto firms?,0.800000,1.000000,UK_gc23-1_2023,UK
CORE_Q12,How does UK PS19-22 describe FCA expectations for cryptoasset firms and market participants?,0.600000,1.000000,UK_ps19-22_2019,UK
CORE_Q13,What key controls are required under ADGM guidance for regulation of virtual asset activities?,0.600000,1.000000,UAE_Guidance+Virtual+Asset+Activities+in+ADGM+20231218,UAE
CORE_Q14,What are the main provisions in VARA rulebook document VARA_EN_18_VER992_2_2025?,0.800000,1.000000,UAE_VARA_EN_293_VER20250519,UAE
CORE_Q15,What changes are proposed in UAE Consultation Paper No. 11 of 2024 for digital asset regulation?,0.800000,1.000000,UAE_Consultation+Paper+No.+11+of+2024+-+Proposed+Amendments+to+the+Digital+Asset+Regulatory+Framework,UAE
CORE_Q16,What policy issues are raised in UAE Consultation Paper No. 7 of 2024 on FRTs?,0.000000,1.000000,UAE_Consultation+Paper+No+7+of+2024+FRTs,UAE
CORE_Q17,Compare Hong Kong and Singapore stablecoin licensing approaches in 2025.,1.000000,1.000000,HK_Conclusion_of_Discussion_Paper_on_Crypto-assets_and_Stablecoins_2023,HK
CORE_Q18,Compare UK and UAE approaches to crypto market conduct and investor protection.,1.000000,0.800000,HK_Discussion_Paper_on_Crypto-assets_and_Stablecoins_2022,HK
CORE_Q19,What are the AML-focused differences between Hong Kong and UAE crypto regulatory guidance?,0.800000,1.000000,HK_Joint_circular_on_intermediaries’_virtual_asset-related_activities_2023,HK
CORE_Q20,Compare how Singapore and UK address retail consumer risks in cryptoasset activities.,1.000000,0.800000,HK_Discussion_Paper_on_Crypto-assets_and_Stablecoins_2022,HK
